file_name,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1293.0723398932621,221.51263342228151,236.42992039588705,96.872652753593243,1.5011072995267591
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,657.50118401340274,363.02777196062954,386.26291332833233,153.47199266519164,1.4975324962404912
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,832.49786908011299,308.53646506727961,291.96014400993448,68.310187490380699,-1.5116001770369079
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,188.46861727229825,480.87804782129933,207.51789081841963,117.01656130346285,1.5093659990029618
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,701.2414471707076,906.44332205558737,562.11480082521598,175.24070574888407,1.4101827883650389
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,443.52599338821545,756.19051014455181,296.55070001475985,99.358877646030237,-1.4093776265166718
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1674.5,755.0,147.12420827291805,57.831841450189422,1.5707963267948966
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1001.8497894519862,840.69990282399363,258.97427697794842,125.2219396556397,-1.3373822576618346
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1835.5,890.0,256.38506954527173,158.63586576848564,-1.4401120418849076
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1289.9933665008291,1096.5086630340361,483.88766036709632,124.95423256104064,-1.408123425269773
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,515.44411793904499,1074.0089149210762,280.06390394814002,171.73075931906985,1.3960579359335579
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1423.5,1354.0,290.80033647221035,186.06663084016347,1.5707963267948966
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,1892.5,1504.0,408.89268912397375,115.02343484185872,1.5707963267948966
BMGMC_013_baseline_6_24_15_layer1,2015-06-24,475.01015206590239,1476.3850472114082,309.50680878342587,143.4502061394424,1.5165535133095487
BMGMC_013_baseline_6_24_15_layer2,2015-06-24,318.48663142719846,460.02917827967326,321.67034563262268,154.44771748615733,1.5181571985017219
BMGMC_013_baseline_6_24_15_layer2,2015-06-24,1217.5,635.5,559.71845438246669,177.7188241812473,1.4769250200215616
BMGMC_013_baseline_6_24_15_layer2,2015-06-24,854.32600488563185,782.28930712858096,204.80706684123268,83.985497475393757,1.5053611975357688
BMGMC_013_baseline_6_24_15_layer2,2015-06-24,297.6800059315579,1079.7867133102811,676.48924936337767,209.42566133631317,-1.5110903041432453
BMGMC_013_baseline_6_24_15_layer2,2015-06-24,1096.0043197810789,1175.0626563721657,551.34976416911491,177.2207540070186,1.5155336699331734
BMGMC_013_baseline_6_24_15_layer2,2015-06-24,1947.189072327044,1116.514858490566,217.22518437581178,111.84131658868567,-1.4786682440405483
BMGMC_013_baseline_6_24_15_layer3,2015-06-24,908.19033533086827,1195.7511028943006,404.60559567837834,185.11070206156444,1.4292269621507927
BMGMC_013_baseline_6_24_15_layer3,2015-06-24,1817.7834014996592,1130.9867501704159,185.91411253649514,120.56407076241281,-1.319681750069869
