file_name,location,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1293.07234,221.5126334,236.4299204,96.87265275,1.5011073
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,657.501184,363.027772,386.2629133,153.4719927,1.497532496
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,832.4978691,308.5364651,291.960144,68.31018749,-1.511600177
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,188.4686173,480.8780478,207.5178908,117.0165613,1.509365999
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,701.2414472,906.4433221,562.1148008,175.2407057,1.410182788
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,443.5259934,756.1905101,296.5507,99.35887765,-1.409377627
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1674.5,755,147.1242083,57.83184145,1.570796327
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1001.849789,840.6999028,258.974277,125.2219397,-1.337382258
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1835.5,890,256.3850695,158.6358658,-1.440112042
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1289.993367,1096.508663,483.8876604,124.9542326,-1.408123425
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,515.4441179,1074.008915,280.0639039,171.7307593,1.396057936
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1423.5,1354,290.8003365,186.0666308,1.570796327
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,1892.5,1504,408.8926891,115.0234348,1.570796327
BMGMC_013_baseline_6_24_15_layer1,13,6/24/2015,475.0101521,1476.385047,309.5068088,143.4502061,1.516553513
BMGMC_013_baseline_6_24_15_layer2,13,6/24/2015,318.4866314,460.0291783,321.6703456,154.4477175,1.518157199
BMGMC_013_baseline_6_24_15_layer2,13,6/24/2015,1217.5,635.5,559.7184544,177.7188242,1.47692502
BMGMC_013_baseline_6_24_15_layer2,13,6/24/2015,854.3260049,782.2893071,204.8070668,83.98549748,1.505361198
BMGMC_013_baseline_6_24_15_layer2,13,6/24/2015,297.6800059,1079.786713,676.4892494,209.4256613,-1.511090304
BMGMC_013_baseline_6_24_15_layer2,13,6/24/2015,1096.00432,1175.062656,551.3497642,177.220754,1.51553367
BMGMC_013_baseline_6_24_15_layer2,13,6/24/2015,1947.189072,1116.514858,217.2251844,111.8413166,-1.478668244
BMGMC_013_baseline_6_24_15_layer3,13,6/24/2015,908.1903353,1195.751103,404.6055957,185.1107021,1.429226962
BMGMC_013_baseline_6_24_15_layer3,13,6/24/2015,1817.783401,1130.98675,185.9141125,120.5640708,-1.31968175
BMGMC_003_6_24_15_layer1,3,6/24/2015,1669.768288,187.9895237,287.9111699,217.8193066,-1.283894156
BMGMC_003_6_24_15_layer1,3,6/24/2015,884,414.5,350.4253877,129.4727336,1.570796327
BMGMC_003_6_24_15_layer1,3,6/24/2015,628.7491292,692.9456216,594.2459423,105.6491081,1.557412328
BMGMC_003_6_24_15_layer1,3,6/24/2015,350.2417675,639.6753893,494.7847088,148.985351,1.417401089
BMGMC_003_6_24_15_layer1,3,6/24/2015,1349.492624,600.2454873,306.9945515,103.7399893,1.307312609
BMGMC_003_6_24_15_layer1,3,6/24/2015,1637,824.5,305.2559068,100.029923,1.570796327
BMGMC_003_6_24_15_layer1,3,6/24/2015,902.494707,1005.279116,474.1612777,253.9759608,1.524279483
BMGMC_003_6_24_15_layer1,3,6/24/2015,1497.29812,984.9420496,323.3613536,137.2868776,1.454711477
BMGMC_003_6_24_15_layer1,3,6/24/2015,1928.494817,978.2611465,296.7571149,172.2768436,-1.379394118
